"simulationID","time","B._vulgatus","B._uniformis","B._fragilis_spp","B._thetaiotaomicron","B._hansenii","C._ramosum","L._gasseri","E._rectale","B._crossotus","H._parainfluenzae","P._copri","P._melaninogenica","B._adolescentis","E._lenta","F._nucleatum_subsp._nucleatum","C._bolteae","B._longum_subsp._longum","F._nucleatum_subsp._animalis","C._perfringens_S107","D._piger","C._saccharolyticum","S._salivarius","A._odontolyticus","E._siraeum","L._paracasei","B._animalis_subsp._lactis_spp","R._gnavus","C._comes","E._coli_spp","C._difficile","L._lactis","L._plantarum","S._typhimurium_spp","V._cholerae_spp","Count_survivors","Fraction_survivors_correctly_predicted"
11,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
12,432,5.1138519357834e-09,4.90258741707218e-06,1.46865378696753e-05,8.9295779690474e-08,2.49779643878346e-06,4.40898523447219e-08,2.86086405278477e-09,5.28210770602952e-08,6.21442566430076e-08,6.62659869909066e-08,5.65045135402707e-08,2.58432945339425e-08,3.44556774432336e-09,2.60618396233788e-09,3.35935518898478e-08,7.38721560158666e-08,2.3780895308078e-09,5.11942114691386e-08,2.22688588437965e-09,0,8.45318809232088e-09,1.64905950217401e-05,8.01058307504127e-09,2.46120433320221e-08,2.99723140924509e-09,2.59809402214547e-09,1.49263222429848e-08,1.97290952079106e-08,0.0198565099546096,1.38561009049663e-08,5.41574594256518e-09,1.21487210958198e-09,0.980006689698534,9.75467607096311e-05,1,0.25
13,432,1.7962123035974e-17,9.74475192371911e-14,0.999997057273281,6.83875462423136e-10,1.4981553695865e-11,7.28419318279758e-16,1.17413689460317e-17,1.92938190913891e-16,2.46480550284441e-16,3.60648780983998e-16,2.07214696861192e-16,1.06895495911992e-16,1.58650815945606e-17,2.24879138146531e-17,1.44899621166195e-16,2.54450398593023e-16,1.23465253114886e-17,1.84813272089293e-16,5.92105165154423e-18,0,3.35196414507831e-17,7.665868291769e-12,1.59380892651255e-17,7.32766782450386e-17,3.65371393936533e-18,5.65968458794415e-19,1.79009536604809e-17,6.83103579534107e-17,1.40811065341336e-08,8.60411799254351e-17,7.19032413933566e-18,5.72375234273526e-18,3.56664894203546e-09,2.92437234095969e-06,1,0.25
14,432,2.84857207509761e-09,3.82868694913054e-05,9.64230600056874e-08,1.78565843841374e-06,3.82922861927452e-08,2.58349842394791e-08,2.39163234400127e-09,2.6147823060367e-08,3.66201632314103e-08,3.87118374840607e-08,2.94504681347368e-08,1.12544854923761e-08,8.49130049293849e-10,3.71041695111474e-10,1.45780966298865e-08,3.52168120654353e-08,1.92446777621046e-09,2.85090148499826e-08,1.90266190857443e-09,0,4.51109052426041e-09,8.21901409898479e-05,1.31815469848993e-09,1.04625273670453e-08,1.00446602961423e-09,3.8247823273024e-10,4.90678065170954e-09,1.24423865194995e-08,0.953286214016022,7.3069183111804e-09,1.89122658881012e-09,7.78469505321981e-10,0.0464585918574603,0.000132495126562309,1,0.25
15,432,1.04503437949098e-14,1.6478717910317e-13,9.74247420139868e-10,6.98173606786123e-09,0.999995326506159,1.96479951141817e-13,3.30647918099525e-15,8.75394245884655e-14,1.26379014221814e-13,1.23183120962367e-13,9.32309961327252e-14,3.744651271026e-14,8.78796318399534e-15,7.00619658331436e-15,6.24529800437293e-14,1.10868524556248e-13,3.7511388902715e-15,8.84095456320266e-14,4.00595256636745e-15,0,1.48749519083766e-14,5.42610180586235e-13,9.40859714473744e-15,3.80726398659732e-14,8.28500217049038e-15,8.73417868257747e-15,2.73042306487055e-14,3.02972399397733e-14,7.89949782384511e-08,2.39415387934152e-14,8.45625491365075e-15,2.53277293450762e-15,5.82388577971417e-08,4.52830217871188e-06,0,0
16,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
17,432,1.86547160199823e-17,8.04949878913188e-09,0.999999956269668,4.86956494983798e-11,1.20996402019413e-13,4.43665121942709e-16,3.9531665728662e-17,1.47959624785518e-16,2.25873335861036e-16,2.49483915705092e-16,1.38724427726582e-16,7.33716994180253e-17,5.97086137267315e-18,9.7146878871157e-18,1.39088203386149e-16,2.25050168944271e-16,7.54248094017237e-18,1.41046411685717e-16,1.0984507451081e-17,0,2.64377199323505e-17,7.46773235906413e-13,1.03329624638266e-17,7.89854611129947e-17,6.6435693935136e-18,3.37338525509449e-17,3.37280139164971e-18,6.71867829495877e-17,3.55841563093765e-08,8.59294274749146e-17,1.48524646041292e-17,2.56547847829468e-18,4.68666415245213e-11,2.44107618332378e-13,1,0.25
18,432,2.09714233440152e-15,4.6578962785026e-11,0.99999689045239,1.41321314493537e-12,7.34005735980969e-13,3.61943343380812e-14,1.66510975711853e-15,2.51568913562798e-14,3.73811269439661e-14,3.19232848301807e-14,2.51260850312945e-14,1.2099732374137e-14,1.01894522710873e-15,6.99388902397904e-17,1.86695664173331e-14,3.0598243993225e-14,1.47833910753729e-15,2.46504037305703e-14,7.48905466623199e-16,0,4.14005673236326e-15,1.07456594926428e-09,6.97000793959783e-16,1.07487573076794e-14,9.19300384333914e-16,2.08528268481042e-15,2.89307341402953e-15,9.84733533946461e-15,3.08606622894762e-06,1.15980962003204e-14,3.58754091181022e-15,7.89740990134279e-17,2.13586482555786e-08,9.99145706649319e-10,1,0.25
19,432,4.03473962926085e-13,4.2429595487899e-11,0.999379273789033,5.45979990208261e-11,4.79015007260119e-06,4.15123960066879e-12,1.37715998691568e-13,3.72453120397993e-12,6.72524263708722e-12,6.04543770461926e-12,4.57508818241375e-12,2.00658775256257e-12,2.26438176027152e-13,5.22218117206093e-14,4.08279006541887e-12,4.639301221608e-12,3.21871410589135e-13,4.50548503387497e-12,2.88366797101447e-13,0,7.30912159756291e-13,3.4266749558324e-10,1.38215797748781e-13,1.83065645888585e-12,8.8354612319274e-14,6.10729980739717e-13,1.4061780263341e-12,1.73856514728581e-12,0.000360194292112733,1.77733418622437e-12,3.03200805888036e-13,1.57412271649007e-13,0.000227444323665801,2.82969547538878e-05,1,0.25
20,432,9.2801618360234e-17,1.23123873194385e-11,0.999999185332064,1.33229781284698e-14,1.34144856993794e-14,7.56782126003686e-16,6.10264438926886e-17,8.34281101934692e-16,1.17472639100414e-15,1.19315940147708e-15,7.53021824386932e-16,3.28806060927493e-16,8.82193838326663e-17,6.4860232616694e-17,6.21991081853497e-16,1.12184897278937e-15,5.79106496584212e-17,6.9832041045105e-16,2.75655505258876e-17,0,1.30768591645821e-16,2.06925812504438e-11,8.14184992726485e-17,3.09418374612768e-16,4.25877968834836e-17,4.18878165193636e-18,4.09307171726142e-17,3.18767539050813e-16,1.85770705815422e-11,7.4292430738699e-17,5.58390215982068e-17,4.46648976161997e-17,8.14613357993358e-07,2.96082790974147e-12,1,0.25
