"Medium","Species","MaxOD","MaxOD_sd","Rate","Rate_sd"
"11","P._copri",0,NA,0,NA
"11","C._difficile",0.3145,0.119850949099287,0.0656092302894201,0.0148850160582066
"11","P._melaninogenica",0,NA,0,NA
"11","R._gnavus",0.68,0.0546717477313466,0.177586368657289,0.022248967792828
"11","S._salivarius",0.819833333333333,0.0858812164174061,0.269834332369367,0.0396319798052524
"13","A._odontolyticus",0,NA,0,NA
"13","B._adolescentis",0,NA,0,NA
"13","B._crossotus",0,NA,0,NA
"13","B._hansenii",0.34375,0.107126677349762,0.0280427447245992,0.0247310430909123
"13","B._longum_subsp._longum",0,NA,0,NA
"13","B._thetaiotaomicron",0.4235,0.219910208949016,0.0239603414550403,0.0130619247201408
"13","B._uniformis",0.25375,0.180665782593163,0.018980899,0.015382362734166
"13","B._vulgatus",0,NA,0,NA
"13","C._bolteae",0,NA,0,NA
"13","C._comes",0,NA,0,NA
"13","C._perfringens_S107",0,NA,0,NA
"13","C._ramosum",0,NA,0,NA
"13","C._saccharolyticum",0,NA,0,NA
"13","D._piger",0,NA,0,NA
"13","E._lenta",0,NA,0,NA
"13","E._rectale",0,NA,0,NA
"13","E._siraeum",0,NA,0,NA
"13","F._nucleatum_subsp._animalis",0,NA,0,NA
"13","F._nucleatum_subsp._nucleatum",0,NA,0,NA
"13","H._parainfluenzae",0,NA,0,NA
"13","L._gasseri",0,NA,0,NA
"13","L._lactis",0,NA,0,NA
"13","L._paracasei",0,NA,0,NA
"13","L._plantarum",0,NA,0,NA
"13","P._copri",0,NA,0,NA
"13","C._difficile",0,NA,0,NA
"13","P._melaninogenica",0,NA,0,NA
"13","R._gnavus",0,NA,0,NA
"13","S._salivarius",0.255,0.175362481734264,0.0272024060611401,0.00890710866651737
"14","A._odontolyticus",0,NA,0,NA
"14","B._adolescentis",0.2175,0.11141476562826,0.0583387955616352,0.043987141389804
"14","B._crossotus",0,NA,0,NA
"14","B._hansenii",0.46575,0.250669353930631,0.0923313663566241,0.00105145980268566
"14","B._longum_subsp._longum",0,NA,0,NA
"14","B._thetaiotaomicron",0,NA,0,NA
"14","B._uniformis",0.231,NA,0.0193710641667052,NA
"14","B._vulgatus",0.4945,0.351432070249714,0.0619936893929237,0.0105101571511631
"14","C._bolteae",0,NA,0,NA
"14","C._comes",0.24275,0.10046682702929,0.0114926983203701,0.00535873790199485
"14","C._perfringens_S107",0.594333333333333,0.277712681261287,0.166472598897781,0.164945591900876
"14","C._ramosum",0,NA,0,NA
"14","C._saccharolyticum",0,NA,0,NA
"14","D._piger",0,NA,0,NA
"14","E._lenta",0,NA,0,NA
"14","E._rectale",0,NA,0,NA
"14","E._siraeum",0,NA,0,NA
"14","F._nucleatum_subsp._animalis",0,NA,0,NA
"14","F._nucleatum_subsp._nucleatum",0,NA,0,NA
"14","H._parainfluenzae",0,NA,0,NA
